1776677654.719569 | 1 1 1 1 10 40.900046223327415 -72.3500164156019 1.873857619887351 0.18421010303321728 0.42561070211532237 8.041156998166533 -0.7153652188438819 1.0350077346155837 0 14.07499366054526 1013.8665700879959 11.789207510648305 14.308058366489536 37.44516885483894
1776677654.8215675 | 1 1 1 1 11 40.90000303726906 -72.35001384642537 4.028416794535615 0.9330044972341336 0.6624747305027026 8.333487911492227 -1.2011603385710234 2.6602676112280434 0 14.961345416246381 1012.1168944439686 7.644959105436469 15.292721627924795 37.66544512155627
1776677654.9225664 | 1 1 1 1 10 40.90004531550035 -72.34997004127074 4.90508944206007 0.08648121091007255 0.3364808748261203 9.013944074076411 -0.4487989341004708 1.1461742376378483 0 15.105327360632986 1012.5608118854897 2.293348682089582 14.783644197667453 37.36442564601908
1776677655.023565 | 1 1 1 1 12 40.900026057036676 -72.34998853770111 0.47985810205126267 0.9188035637937524 -0.5733124386524027 9.632997023443108 3.4094916790333265 -1.2157656173376208 0 15.790267285892996 1012.2899538694124 17.46653291894418 15.799537634595655 63.38183238711029
1776677655.1245637 | 1 1 1 1 12 40.90007413116988 -72.35001020452877 1.133480080366327 0.15225621441782566 -0.2892857273165854 9.264970253379449 4.829011098368884 2.594664424716485 0 14.491126830949256 1012.5267509300608 0.06720042899613565 14.893416342206926 45.69172410716568
1776677655.2285624 | 1 1 1 1 9 40.900090981980924 -72.35005810912597 2.814234088612273 -0.8959854075392981 0.42633090368294435 9.18079841435376 1.2738698997912188 4.869272593018074 0 15.96115446665246 1013.5392512722693 8.869816503231611 16.18797133990146 35.113519403576404
1776677655.3345613 | 1 1 1 1 8 40.90009680690858 -72.35010473998308 1.2822782476040195 0.4781859641327306 -0.4488876578971661 9.829029773917444 0.03421884705252154 1.178537266682281 0 15.713087414373346 1012.9987212639767 13.131365688495954 15.834161688469582 69.61555370634325
1776677655.4415598 | 1 1 1 1 10 40.90011680638349 -72.3501032105449 2.393781371983957 -0.8362087293608911 0.05611074261496962 8.496874335466254 -3.286138252840831 -1.627524077596071 0 15.140346231134227 1012.5160577684727 -0.5639612967154211 14.684980085905956 59.78211857750182
1776677655.5425587 | 1 1 1 1 7 40.900128054195726 -72.35012116181049 2.1989600727148932 -0.12029739249135551 -0.1526061262204812 8.956601431993018 -2.0501253514739446 -4.544975908635109 0 15.917605210070953 1012.2574408514786 11.963211287285777 15.77650640958099 51.060480221001285
1776677655.6445572 | 1 1 1 1 9 40.90016920584157 -72.35009569448223 2.521996456722066 -0.5453465253951622 0.09683449235902852 8.505299545228585 3.289926438456103 3.7623057058956473 0 14.784598111194931 1013.6213694022069 -17.428272858033573 14.494233500508805 64.29630010367342
1776677655.7455559 | 1 1 1 1 10 40.900207613118475 -72.35014411003363 3.366766534468846 0.18278882509684036 0.5293102102252287 9.69491318391666 -3.3848502751149647 1.7255679837530815 0 15.00259208556909 1013.5810318085056 12.639305281539096 15.267939820931431 52.1093359547126
1776677655.8455548 | 1 1 1 1 8 40.900252294447036 -72.35011100439927 0.34449275081157027 -0.006306038708989714 0.23634502849122718 9.065862490010497 -1.9396640745528848 0.8300162244035167 0 14.346198236241184 1012.7124268152119 1.0965492620567743 14.417755853470991 37.74525679951029
1776677655.9445536 | 1 1 1 1 6 40.90020276525708 -72.35010239848481 1.505268096403423 0.9176610098248255 -0.5027805019469738 8.968607840353558 2.9284042923666656 -4.537297035916101 0 15.085406754536026 1013.3108814835477 19.969193034050985 14.916260440288076 36.95394724755739
1776677656.0475523 | 1 1 1 1 7 40.90024222129158 -72.35010045318454 0.045653593588030894 -0.09531742767803375 -0.5684930926545408 9.873247955411376 2.543501943448666 2.0302288891925944 0 15.562911422584442 1012.1056227595091 1.1732148319766038 15.366482813188519 59.2534055382101
1776677656.1575508 | 1 1 1 1 8 40.90022254757058 -72.35006775330666 2.3585894614143648 -0.7648108810107528 -0.5032286687240901 9.02132806543347 0.6330170144718785 2.4405971510850595 0 14.212375004044368 1013.0222130625007 21.131160402497525 14.415657014389542 69.81502294373334
1776677656.2565496 | 1 1 1 1 9 40.900214043183844 -72.35010456850013 0.5400344951444047 -0.9301333305287218 0.9687057851246765 8.889292106162626 3.2540057661118684 4.565386545337823 0 15.217665954663378 1012.5887874818687 -4.618925027074764 15.364852056967534 52.717789975648
1776677656.3555484 | 1 1 1 1 10 40.90018564725175 -72.35014523013143 0.8038446232760216 -0.6936656082408441 -0.6498582715666448 9.640529541150926 -3.9929456916360637 -3.746952486534969 0 15.734630051538987 1012.9489028961798 19.994791313741302 15.728112164327856 51.57042591560386
1776677656.4545472 | 1 1 1 1 8 40.900207242041596 -72.3501243720013 2.158719098660508 0.5408494390885723 0.9741479257081993 8.629714866293769 1.1936169844965328 -0.49645671297314564 0 14.08420123184873 1013.8475148335727 -10.363254257392445 14.168128907732159 39.63133636038259
